syn_id,pre_id,post_id,prop
637,142,143,0.035386631716906945
637,142,187,0.10222804718217562
637,142,241,0.8623853211009175
639,227,139,0.6666666666666666
639,227,164,0.3002070393374741
639,227,172,0.033126293995859216
640,142,172,0.17234262125902994
640,142,175,0.8276573787409701
641,172,134,0.16804979253112035
641,172,135,0.11099585062240663
641,172,175,0.720954356846473
642,181,134,0.5665280665280665
642,181,175,0.43347193347193347
644,187,82,0.04105263157894737
644,187,175,0.27052631578947367
644,187,201,0.6884210526315789
645,199,84,0.6883248730964467
645,199,174,0.24568527918781727
645,199,186,0.06598984771573604
646,185,134,0.16776750330250992
646,185,136,0.20607661822985468
646,185,154,0.4953764861294584
646,185,181,0.130779392338177
647,187,175,0.27474747474747474
647,187,201,0.7252525252525253
649,185,134,0.060824742268041236
649,185,136,0.10721649484536082
649,185,175,0.831958762886598
651,145,220,1.0
652,197,145,0.8297435897435897
652,197,217,0.17025641025641025
653,196,153,0.14300202839756593
653,196,205,0.8569979716024341
656,241,143,1.0
658,142,242,1.0
659,241,142,0.6676860346585117
659,241,244,0.33231396534148827
661,228,131,0.310838445807771
661,228,164,0.689161554192229
662,143,173,1.0
664,228,127,0.9205658324265505
664,228,131,0.0794341675734494
665,143,173,0.12925851703406813
665,143,174,0.8707414829659319
668,199,84,0.08634538152610442
668,199,174,0.6134538152610441
668,199,186,0.3002008032128514
670,173,126,0.0797979797979798
670,173,128,0.9202020202020202
671,169,173,0.040780141843971635
671,169,174,0.20035460992907803
671,169,180,0.39893617021276595
671,169,184,0.3599290780141844
672,192,76,0.44972375690607735
672,192,169,0.057458563535911604
672,192,206,0.49281767955801103
674,152,242,1.0
675,142,241,0.40970072239422084
675,142,244,0.5902992776057792
679,142,241,0.5041580041580042
679,142,244,0.49584199584199584
681,142,172,0.9876543209876543
681,142,175,0.012345679012345678
682,173,128,1.0
683,163,169,0.12744090441932168
683,163,173,0.8489208633093526
683,163,184,0.023638232271325797
684,163,169,1.0
685,192,162,0.07395833333333333
685,192,184,0.8635416666666667
685,192,206,0.0625
686,197,145,0.6910569105691057
686,197,217,0.3089430894308943
687,89,151,0.5981963927855711
687,89,244,0.40180360721442887
690,142,143,0.07040816326530612
690,142,241,0.6173469387755102
690,142,244,0.3122448979591837
691,143,241,0.8568486096807415
691,143,244,0.1431513903192585
693,242,142,1.0
694,142,241,1.0
695,142,241,0.4208924949290061
695,142,242,0.579107505070994
699,173,174,1.0
700,173,112,0.013584117032392894
700,173,126,0.5078369905956113
700,173,163,0.4785788923719958
701,185,175,0.967741935483871
701,185,181,0.03225806451612903
702,181,168,0.1656441717791411
702,181,175,0.3537832310838446
702,181,185,0.48057259713701433
703,163,101,0.013039117352056168
703,163,112,0.44232698094282846
703,163,126,0.5446339017051154
706,205,196,0.4410430839002268
706,205,206,0.5589569160997733
709,159,82,0.5566037735849056
709,159,151,0.44339622641509435
713,242,142,1.0
714,241,142,1.0
717,228,130,0.16952573158425832
717,228,131,0.38244197780020184
717,228,164,0.44803229061553984
718,227,139,0.49442755825734547
718,227,164,0.5055724417426545
719,228,127,0.613682092555332
719,228,133,0.12877263581488935
719,228,164,0.2575452716297787
720,172,134,0.2602308499475341
720,172,135,0.19097586568730326
720,172,175,0.527806925498426
720,172,181,0.02098635886673662
721,142,172,0.6696787148594378
721,142,175,0.33032128514056225
722,187,175,0.6740220661985958
722,187,201,0.3259779338014042
723,173,128,1.0
724,201,187,1.0
725,192,184,0.7621457489878543
725,192,206,0.23785425101214575
726,242,243,1.0
727,242,142,1.0
728,142,242,1.0
729,143,241,1.0
730,189,172,1.0
734,188,173,1.0
735,173,126,0.11463664278403275
735,173,128,0.34493346980552714
735,173,174,0.5404298874104401
737,199,84,0.248
737,199,186,0.752
738,172,136,0.35587188612099646
738,172,138,0.01542111506524318
738,172,175,0.6287069988137604
741,201,82,0.8746208291203236
741,201,147,0.015166835187057633
741,201,163,0.012133468149646108
741,201,187,0.0980788675429727
742,201,82,0.32763819095477387
742,201,147,0.4020100502512563
742,201,163,0.20804020100502513
742,201,187,0.062311557788944726
744,172,110,0.27505330490405117
744,172,134,0.3773987206823028
744,172,185,0.34754797441364604
745,192,162,0.3458725182863114
745,192,184,0.6018808777429467
745,192,199,0.0522466039707419
746,197,145,0.9608501118568232
746,197,217,0.039149888143176735
747,145,197,0.02044989775051125
747,145,217,0.9795501022494888
749,152,242,0.013
749,152,243,0.987
